Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	4338fd89-4afd-41e6-b172-9189337d3477
Plate Name	251121_Scratch_48h_Gamme_prot
Measurement	Measurement 1
Evaluation	Evaluation2

[Data]
Row	Column	Plane	Timepoint	wound - Region Area [µm²] - Sum per Well	Number of Analyzed Fields	Global Image Binning	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
1	1	1	1	4065374.4169	8	4	0	0	Off	37	Off	5					
1	2	1	1	3948979.81604	8	4	0	0	Off	37	Off	5					
1	3	1	1	3970390.87461	8	4	0	0	Off	37	Off	5					
1	4	1	1	4274477.19628	8	4	0	0	Off	37	Off	5					
1	5	1	1	4353402.80286	8	4	0	0	Off	37	Off	5					
1	6	1	1	3950490.0386	8	4	0	0	Off	37	Off	5					
1	7	1	1	4092559.85585	8	4	0	0	Off	37	Off	5					
1	8	1	1	4353209.36828	8	4	0	0	Off	37	Off	5					
1	9	1	1	3819910.23531	8	4	0	0	Off	37	Off	5					
2	1	1	1	3951921.45448	8	4	0	0	Off	37	Off	5					
2	2	1	1	3658506.99015	8	4	0	0	Off	37	Off	5					
2	3	1	1	3767670.00348	8	4	0	0	Off	37	Off	5					
2	4	1	1	3518612.23727	8	4	0	0	Off	37	Off	5					
2	5	1	1	3759978.47149	8	4	0	0	Off	37	Off	5					
2	6	1	1	3833990.83978	8	4	0	0	Off	37	Off	5					
2	7	1	1	3931557.80834	8	4	0	0	Off	37	Off	5					
2	8	1	1	3900098.18162	8	4	0	0	Off	37	Off	5					
2	9	1	1	3866192.68213	8	4	0	0	Off	37	Off	5					
3	1	1	1	3844697.08549	8	4	0	0	Off	37	Off	5					
3	2	1	1	3716179.15152	8	4	0	0	Off	37	Off	5					
3	3	1	1	3791704.60807	8	4	0	0	Off	37	Off	5					
3	4	1	1	4004754.88569	8	4	0	0	Off	37	Off	5					
3	5	1	1	3867386.24512	8	4	0	0	Off	37	Off	5					
3	6	1	1	3171134.95752	8	4	0	0	Off	37	Off	5					
