Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	7848ba81-a5d5-4e14-bbd4-0e4443f9d316
Plate Name	251126_Scratch_48h_#2
Measurement	Measurement 1
Evaluation	Evaluation2

[Data]
Row	Column	Plane	Timepoint	Open Area - Wound Area [µm²] - Sum per Well	Number of Analyzed Fields	Global Image Binning	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
2	2	1	1	3364321.42228	8	4	0	0	-1	37	Off	5					
2	3	1	1	3064241.45677	8	4	0	0	-1	37	Off	5					
2	4	1	1	3363405.71423	8	4	0	0	-1	37	Off	5					
2	5	1	1	3298553.80814	8	4	0	0	-1	37	Off	5					
2	6	1	1	2984829.93592	8	4	0	0	Off	37	Off	5					
2	7	1	1	3119853.16641	8	4	0	0	Off	37	Off	5					
2	8	1	1	2828716.75953	8	4	0	0	Off	37	Off	5					
2	9	1	1	3381815.88852	8	4	0	0	Off	37	Off	5					
2	10	1	1	3211398.17724	8	4	0	0	Off	37	Off	5					
2	11	1	1	3525500.37015	8	4	0	0	Off	37	Off	5					
3	2	1	1	3552917.15652	8	4	0	0	-1	37	Off	5					
3	3	1	1	3243191.44623	8	4	0	0	-1	37	Off	5					
3	4	1	1	3146365.70899	8	4	0	0	-1	37	Off	5					
3	5	1	1	3149107.10102	8	4	0	0	-1	37	Off	5					
3	6	1	1	3136426.19246	8	4	0	0	Off	37	Off	5					
3	7	1	1	3103241.44847	8	4	0	0	Off	37	Off	5					
3	8	1	1	3050299.47922	8	4	0	0	Off	37	Off	5					
3	9	1	1	3434141.65361	8	4	0	0	Off	37	Off	5					
3	10	1	1	3235140.66713	8	4	0	0	Off	37	Off	5					
3	11	1	1	3329199.21774	8	4	0	0	Off	37	Off	5					
4	2	1	1	3284340.98735	8	4	0	0	-1	37	Off	5					
4	3	1	1	3268053.13486	8	4	0	0	-1	37	Off	5					
4	4	1	1	3132119.92845	8	4	0	0	-1	37	Off	5					
4	5	1	1	3175950.67422	8	4	0	0	-1	37	Off	5					
4	6	1	1	3394291.87337	8	4	0	0	Off	37	Off	5					
4	7	1	1	2735995.22866	8	4	0	0	Off	37	Off	5					
4	8	1	1	2925015.14065	8	4	0	0	Off	37	Off	5					
4	9	1	1	3194625.9596	8	4	0	0	Off	37	Off	5					
4	10	1	1	3426047.88351	8	4	0	0	Off	37	Off	5					
4	11	1	1	3177862.34017	8	4	0	0	Off	37	Off	5					
5	2	1	1	3452093.25735	8	4	0	0	Off	37	Off	5					
5	3	1	1	3265205.69839	8	4	0	0	-1	37	Off	5					
5	4	1	1	3670898.75918	8	4	0	0	-1	37	Off	5					
5	5	1	1	3531885.96497	8	4	0	0	-1	37	Off	5					
5	6	1	1	3126225.86393	8	4	0	0	-1	37	Off	5					
5	7	1	1	3247974.91022	8	4	0	0	Off	37	Off	5					
5	8	1	1	3534236.139	8	4	0	0	Off	37	Off	5					
5	9	1	1	3460389.08509	8	4	0	0	Off	37	Off	5					
5	10	1	1	3104108.4334	8	4	0	0	Off	37	Off	5					
5	11	1	1	3398705.61485	8	4	0	0	Off	37	Off	5					
6	2	1	1	3456888.1856	8	4	0	0	Off	37	Off	5					
6	3	1	1	3369460.27844	8	4	0	0	-1	37	Off	5					
6	4	1	1	3330408.69755	8	4	0	0	-1	37	Off	5					
6	5	1	1	3061944.30496	8	4	0	0	-1	37	Off	5					
6	6	1	1	3234465.70861	8	4	0	0	-1	37	Off	5					
6	7	1	1	2968956.22995	8	4	0	0	Off	37	Off	5					
6	8	1	1	3506164.45657	8	4	0	0	Off	37	Off	5					
6	9	1	1	3319433.0982	8	4	0	0	Off	37	Off	5					
6	10	1	1	3467200.2907	8	4	0	0	Off	37	Off	5					
6	11	1	1	3747349.63396	8	4	0	0	Off	37	Off	5					
7	2	1	1	4211908.82222	8	4	0	0	Off	37	Off	5					
7	3	1	1	3744714.28637	8	4	0	0	-1	37	Off	5					
7	4	1	1	3472049.6742	8	4	0	0	-1	37	Off	5					
7	5	1	1	3243854.94049	8	4	0	0	-1	37	Off	5					
7	6	1	1	3134268.04484	8	4	0	0	-1	37	Off	5					
7	7	1	1	3226387.70188	8	4	0	0	Off	37	Off	5					
7	8	1	1	3339034.12287	8	4	0	0	Off	37	Off	5					
7	9	1	1	3147715.62603	8	4	0	0	Off	37	Off	5					
7	10	1	1	3505574.047	8	4	0	0	Off	37	Off	5					
7	11	1	1	3562855.24002	8	4	0	0	Off	37	Off	5					
2	2	1	2	3112944.51456	8	4	0	7200.4193676999994	Off	37	Off	5					
2	3	1	2	2936781.77419	8	4	0	7200.3438308999994	Off	37	Off	5					
2	4	1	2	3207041.75707	8	4	0	7199.9400972999993	Off	37	Off	5					
2	5	1	2	4596378.66504	8	4	0	7199.9998252999994	Off	37	Off	5					
2	6	1	2	2814859.33092	8	4	0	7198.5781011	Off	37	Off	5					
2	7	1	2	4356208.07498	8	4	0	7198.4975976	Off	37	Off	5					
2	8	1	2	2589904.68471	8	4	0	7199.2188496	Off	37	Off	5					
2	9	1	2	3153308.75363	8	4	0	7200.1715944	Off	37	Off	5					
2	10	1	2	2953030.93479	8	4	0	7200.8433425999992	Off	37	Off	5					
2	11	1	2	3214784.43409	8	4	0	7200.7810982	Off	37	Off	5					
3	2	1	2	3350734.8369	8	4	0	7200.3723537999995	Off	37	Off	5					
3	3	1	2	3066987.1479	8	4	0	7200.2315967999994	Off	37	Off	5					
3	4	1	2	2941632.59072	8	4	0	7199.9815974999992	Off	37	Off	5					
3	5	1	2	3989846.03649	8	4	0	7199.9061217	Off	37	Off	5					
3	6	1	2	3053389.09825	8	4	0	7198.5310956999992	Off	37	Off	5					
3	7	1	2	4273238.33332	8	4	0	7198.6250794	Off	37	Off	5					
3	8	1	2	2874456.30519	8	4	0	7199.2371023999995	Off	37	Off	5					
3	9	1	2	3201480.1562	8	4	0	7200.6588635	Off	37	Off	5					
3	10	1	2	3066416.80079	8	4	0	7200.8120898	Off	37	Off	5					
3	11	1	2	3012122.04843	8	4	0	7200.7338504	Off	37	Off	5					
4	2	1	2	3025240.03204	8	4	0	7200.3900899	Off	37	Off	5					
4	3	1	2	3143803.44608	8	4	0	7200.2653462	Off	37	Off	5					
4	4	1	2	3007137.95984	8	4	0	7200.0753547999993	Off	37	Off	5					
4	5	1	2	3547321.16286	8	4	0	7200.0780926	Off	37	Off	5					
4	6	1	2	3266711.81602	8	4	0	7198.5470908	Off	37	Off	5					
4	7	1	2	3930462.58414	8	4	0	7198.6721006	Off	37	Off	5					
4	8	1	2	2842655.87102	8	4	0	7199.1095969	Off	37	Off	5					
